,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
60,Bruce Brown,PG,26,DEN,30,18,30.3,4.5,9.2,.487,1.3,3.2,.406,3.2,6.0,.530,.558,1.0,1.3,.816,1.0,3.4,4.4,4.3,0.9,0.7,1.7,2.6,11.3
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Greg Brown III,PF,21,POR,9,0,7.3,0.9,2.1,.421,0.1,0.6,.200,0.8,1.6,.500,.447,0.2,0.9,.250,0.2,1.0,1.2,0.0,0.4,0.6,0.6,0.9,2.1
63,Jaylen Brown,SF,26,BOS,30,30,35.8,9.8,20.0,.490,2.4,7.1,.335,7.4,12.9,.575,.549,4.2,5.2,.814,1.2,6.4,7.5,3.5,1.2,0.5,3.2,2.7,26.2
64,Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,.571,0.0,0.2,.000,0.7,1.0,.667,.571,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5
65,Moses Brown,C,23,LAC,25,1,6.6,1.4,2.2,.618,0.0,0.0,,1.4,2.2,.618,.618,0.9,1.8,.478,1.2,1.6,2.9,0.1,0.0,0.4,0.3,0.9,3.6
66,Troy Brown Jr.,SF,23,LAL,28,17,23.0,2.4,5.6,.420,0.9,2.7,.316,1.5,2.9,.519,.497,0.7,0.7,1.000,0.8,3.3,4.1,0.8,0.7,0.1,0.9,1.5,6.3
67,Jalen Brunson,PG,26,NYK,32,32,32.2,7.3,15.7,.461,1.5,4.2,.366,5.7,11.5,.496,.510,4.3,4.9,.891,0.4,2.8,3.2,6.3,1.1,0.2,2.1,2.4,20.4
68,Thomas Bryant,C,25,LAL,17,5,17.6,4.1,6.1,.663,0.6,1.2,.476,3.5,4.9,.711,.712,1.9,2.8,.688,1.4,3.5,4.9,0.9,0.4,0.5,0.7,1.9,10.6
69,Reggie Bullock,SF,31,DAL,31,21,28.1,1.7,4.9,.340,1.3,4.1,.315,0.4,0.8,.462,.471,0.5,0.7,.714,0.4,3.0,3.4,1.0,0.7,0.1,0.4,2.2,5.1
70,Alec Burks,SG,31,DET,21,0,20.5,4.1,9.1,.450,1.8,4.4,.398,2.3,4.7,.500,.547,3.3,4.2,.787,0.2,2.5,2.8,1.8,0.8,0.1,1.0,2.5,13.3
71,Jimmy Butler,SF,33,MIA,20,20,35.2,7.4,14.0,.529,0.8,2.1,.366,6.7,12.0,.556,.555,6.3,7.7,.818,2.1,4.7,6.8,5.9,1.9,0.4,1.9,1.6,21.9
72,John Butler,C,20,POR,4,0,3.8,0.3,0.8,.333,0.0,0.5,.000,0.3,0.3,1.000,.333,0.0,0.0,,0.3,0.3,0.5,0.3,0.0,0.3,0.0,0.0,0.5
73,Jamal Cain,SF,23,MIA,9,0,11.2,1.8,3.3,.533,0.1,0.7,.167,1.7,2.7,.625,.550,0.6,0.9,.625,0.8,1.6,2.3,0.6,0.6,0.0,0.2,1.1,4.2
74,Kentavious Caldwell-Pope,SG,29,DEN,29,29,31.3,4.1,8.7,.470,2.1,4.5,.458,2.0,4.1,.483,.590,1.1,1.3,.795,0.5,2.7,3.2,2.1,1.1,0.4,1.2,2.0,11.3
75,Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,.231,0.4,1.4,.273,0.0,0.3,.000,.346,0.1,0.3,.500,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3
76,Vlatko Čančar,PF,25,DEN,21,0,11.0,1.5,3.2,.478,0.8,1.7,.444,0.8,1.5,.516,.597,0.3,0.3,.857,0.3,1.4,1.7,0.9,0.3,0.2,0.7,1.3,4.1
77,Clint Capela,C,28,ATL,26,26,27.6,5.5,8.7,.633,0.0,0.0,,5.5,8.7,.633,.633,1.1,1.8,.583,4.4,7.6,12.0,0.8,0.6,1.3,0.9,2.3,12.1
78,Vernon Carey Jr.,C,21,WAS,3,0,1.7,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.7,0.0
79,Jevon Carter,PG,27,MIL,31,24,25.5,2.9,6.8,.420,1.4,3.5,.404,1.5,3.3,.437,.524,0.5,0.6,.850,0.7,2.2,2.9,3.2,1.3,0.5,1.3,2.2,7.7
80,Wendell Carter Jr.,C,23,ORL,15,15,32.9,5.8,11.3,.515,1.2,3.5,.346,4.6,7.8,.590,.568,3.8,4.6,.826,2.1,6.9,9.1,3.3,0.5,0.5,2.6,3.2,16.6
81,Alex Caruso,PG,28,CHI,30,14,25.0,1.8,4.0,.438,0.8,2.2,.373,0.9,1.8,.519,.541,1.0,1.3,.763,0.4,2.4,2.8,3.6,1.6,0.7,1.4,2.3,5.3
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Julian Champagnie,SF,21,PHI,2,0,3.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
84,Justin Champagnie,SF,21,TOR,3,0,3.7,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,2.0
85,Kennedy Chandler,PG,20,MEM,14,0,10.5,1.3,3.4,.375,0.1,0.9,.167,1.1,2.6,.444,.396,0.2,0.5,.429,0.2,1.4,1.6,2.4,0.6,0.3,0.9,0.5,2.9
86,Max Christie,SG,19,LAL,15,0,14.5,1.3,3.4,.373,0.9,2.1,.438,0.3,1.3,.263,.510,0.2,0.3,.750,0.3,2.5,2.8,0.6,0.2,0.1,0.3,0.6,3.7
87,Josh Christopher,SG,21,HOU,18,0,7.0,1.2,2.8,.440,0.2,0.8,.214,1.1,2.0,.528,.470,0.3,0.3,.833,0.3,0.8,1.1,0.6,0.3,0.1,0.7,0.7,2.9
88,Brandon Clarke,PF,26,MEM,30,3,19.5,4.1,6.4,.649,0.0,0.2,.167,4.1,6.2,.665,.652,1.6,2.3,.706,1.2,4.0,5.2,1.2,0.3,0.8,1.1,2.4,9.9
89,Jordan Clarkson,SG,30,UTA,33,33,32.4,7.3,16.8,.436,2.7,7.7,.350,4.6,9.1,.508,.516,2.8,3.4,.820,1.2,2.6,3.8,4.5,0.5,0.3,2.8,1.9,20.1
90,Nic Claxton,C,23,BRK,29,29,27.8,5.1,7.0,.738,0.0,0.0,.000,5.1,6.9,.741,.738,1.3,2.9,.458,2.6,6.0,8.6,1.3,0.7,2.3,1.2,2.9,11.6
91,Amir Coffey,SG,25,LAC,27,7,14.8,1.2,3.2,.384,0.3,1.0,.346,0.9,2.2,.400,.436,1.2,1.5,.805,0.4,0.8,1.2,1.2,0.2,0.1,0.5,1.2,4.0
92,John Collins,PF,25,ATL,24,24,30.6,4.6,9.4,.489,0.7,3.1,.213,3.9,6.3,.627,.524,2.1,2.5,.850,1.1,6.3,7.4,1.3,0.9,1.3,1.3,3.2,12.0
93,Zach Collins,PF,25,SAS,19,6,20.9,3.5,6.5,.532,0.6,2.0,.316,2.8,4.5,.628,.581,1.3,1.7,.781,1.9,3.9,5.8,2.9,0.5,1.0,2.5,3.8,8.9
94,Mike Conley,PG,35,UTA,23,22,28.8,3.3,8.5,.383,1.7,4.9,.348,1.6,3.7,.429,.482,1.3,1.9,.705,0.4,1.8,2.2,7.5,1.1,0.2,1.5,2.1,9.6
95,Pat Connaughton,SG,30,MIL,15,0,19.3,2.4,7.1,.340,1.5,5.1,.299,0.9,1.9,.448,.448,0.7,0.9,.769,0.6,2.7,3.3,0.7,0.5,0.2,0.5,1.3,7.0
96,Robert Covington,PF,32,LAC,20,0,15.6,1.9,4.9,.381,1.0,3.1,.311,0.9,1.8,.500,.479,0.7,0.9,.824,0.5,3.1,3.6,1.2,0.5,0.7,0.8,2.0,5.4
97,Torrey Craig,SF,32,PHO,29,21,24.6,3.2,6.7,.477,1.3,3.4,.390,1.8,3.2,.570,.578,0.5,0.7,.789,2.1,3.2,5.3,1.6,0.7,0.7,0.7,2.4,8.2
98,Jarrett Culver,SG,23,ATL,10,1,13.7,1.7,4.3,.395,0.1,1.2,.083,1.6,3.1,.516,.407,0.9,1.3,.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4
99,Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,.415,1.4,5.1,.279,6.3,13.6,.466,.453,3.0,3.6,.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9
100,Seth Curry,SG,32,BRK,21,0,21.6,3.1,7.0,.446,1.6,4.0,.400,1.5,3.0,.508,.561,0.8,0.9,.944,0.2,1.9,2.1,2.4,0.6,0.2,1.0,2.0,8.7
